acetate
acetonide
acid
aluminium
and
aspartate
bicarbonate
bromide
calcium
carbonate
chloride
cilexetil
citrate
dipropionate
fluoride
fumarate
fur
furoate
gluconate
hcl
hyclate
hydrobromide
hydrochloride
hydroxide
iodide
iodine
maleate
mesilate
nitrite
other
oxide
peroxide
phosphate
potassium
propionate
silicate
sod
sodium
succinate
sulfate
sulfide
tartrate
with
